1712915220269,120313,0.6568082,-0.2856071,3.800627,0.674624,0.03831379,3.854887,0.6903806,0.3557863,3.895502,0.7091626,0.5197304,3.909297,0.5049905,0.252109,3.904031,0.3535458,0.1078869,3.959074,0.3470918,-0.06136375,3.885188,0.8714353,0.2187779,3.861711,0.9184613,-0.0204829,3.853891,0.8644519,-0.2072324,3.694996,0.5747843,-0.2761821,3.766796,0.5560601,-0.8130701,3.717092,0.542715,-1.171639,3.731284,0.5208651,-1.23178,3.640866,0.7253524,-0.2891032,3.755266,0.7401021,-0.8058789,3.717975,0.7275723,-1.176111,3.718655,0.7155575,-1.235053,3.626799,0.68686,0.2772744,3.887889,
1712915220303,120314,0.6610753,-0.2858495,3.800203,0.6773138,0.03852,3.854548,0.6917589,0.3562353,3.895252,0.7119097,0.5202825,3.906776,0.5075365,0.2521823,3.903106,0.3554285,0.1066926,3.959904,0.3510707,-0.0616522,3.883455,0.87519,0.2199121,3.86068,0.92094,-0.01972668,3.850492,0.8669019,-0.2082301,3.693844,0.5790501,-0.2762828,3.766983,0.5574961,-0.8120439,3.716214,0.5438526,-1.170694,3.72995,0.5210809,-1.231543,3.640437,0.7295077,-0.2894806,3.754273,0.742313,-0.8024845,3.717468,0.7278104,-1.175908,3.718469,0.7155926,-1.235022,3.626898,0.6885321,0.2776817,3.887616,
1712915220336,120315,0.6633221,-0.285615,3.800193,0.6803948,0.03961574,3.855129,0.6956314,0.3585723,3.896664,0.7135312,0.5201386,3.906617,0.5096914,0.2511877,3.903287,0.3582748,0.1067393,3.960149,0.4131807,-0.09741706,3.827585,0.8768491,0.2209145,3.859739,0.9236783,-0.01861201,3.845895,0.8687049,-0.2096643,3.69294,0.5814915,-0.2764111,3.767774,0.5591514,-0.8140101,3.715842,0.5441806,-1.17096,3.729272,0.5210903,-1.231518,3.640441,0.7317467,-0.288868,3.753506,0.742648,-0.8025123,3.717522,0.7279025,-1.175554,3.718466,0.7157622,-1.234819,3.62675,0.6922244,0.2796711,3.888796,
1712915220370,120316,0.6646331,-0.2858767,3.799583,0.6836249,0.03932692,3.854355,0.7012247,0.3582734,3.895772,0.7165596,0.5198479,3.905442,0.5118419,0.2506944,3.903014,0.3617828,0.1065614,3.95876,0.3925834,-0.0753653,3.849036,0.8795363,0.2213004,3.858876,0.9244233,-0.01865623,3.843998,0.8696678,-0.2104961,3.692028,0.5828711,-0.2764869,3.767468,0.5597779,-0.8153238,3.715625,0.5448056,-1.170069,3.729158,0.521041,-1.231425,3.64045,0.7329158,-0.289327,3.752572,0.7433935,-0.8019953,3.717053,0.7277181,-1.175712,3.718609,0.7158716,-1.234848,3.626655,0.6972088,0.279376,3.887931,
1712915220402,120317,0.6660942,-0.2857483,3.799418,0.6865072,0.03909721,3.853822,0.7053662,0.357445,3.894677,0.719722,0.5198163,3.90554,0.5137468,0.2505697,3.903584,0.366404,0.1060436,3.958825,0.4098285,-0.1045695,3.83274,0.8812557,0.2215887,3.85747,0.9251934,-0.01853874,3.843711,0.8714277,-0.2111735,3.692463,0.5844163,-0.2765167,3.767709,0.5600466,-0.8152463,3.715547,0.5447987,-1.170085,3.729145,0.521165,-1.231375,3.640459,0.7342715,-0.2890393,3.75202,0.7439536,-0.8028055,3.717202,0.7278329,-1.175026,3.719924,0.7158461,-1.234826,3.626761,0.7010598,0.2787165,3.886994,
1712915220438,120318,0.6679758,-0.2862706,3.798876,0.6887964,0.03834227,3.853669,0.7077131,0.3564957,3.894961,0.721008,0.5192488,3.905098,0.5158476,0.2504145,3.904058,0.3681257,0.104013,3.960887,0.3691185,-0.06825538,3.895853,0.882454,0.2215617,3.85656,0.9294536,-0.01797431,3.839983,0.8758688,-0.2135322,3.692769,0.5862651,-0.2770465,3.767537,0.5607117,-0.8153083,3.715435,0.5447255,-1.170115,3.729118,0.5211372,-1.231337,3.640383,0.7360712,-0.2895407,3.751111,0.7454964,-0.802081,3.717011,0.7278419,-1.174376,3.720887,0.7158668,-1.234806,3.626858,0.7034169,0.2778123,3.887167,
1712915220468,120319,0.6698675,-0.2863211,3.797913,0.6907287,0.03812731,3.852689,0.7094323,0.3561395,3.89399,0.7225412,0.5189815,3.905058,0.5173439,0.2500297,3.904036,0.3704136,0.1043408,3.960474,0.3685777,-0.06740353,3.893713,0.8843208,0.2217726,3.855206,0.9315456,-0.0177189,3.838203,0.8766585,-0.213362,3.691603,0.5881475,-0.277473,3.767079,0.5613545,-0.8154768,3.715337,0.545053,-1.171094,3.728734,0.5211616,-1.23155,3.640263,0.7379717,-0.2891686,3.749543,0.7464564,-0.8014457,3.716884,0.7278667,-1.174301,3.720953,0.7158406,-1.234689,3.626863,0.705205,0.2774886,3.886192,
1712915220502,120320,0.6710081,-0.2864054,3.798367,0.692615,0.03770949,3.852987,0.7121106,0.3552744,3.893988,0.7253938,0.5195827,3.907386,0.5207623,0.2502751,3.905604,0.3728428,0.1038279,3.962578,0.3965638,-0.06184767,3.884002,0.8865948,0.2208502,3.854969,0.9340373,-0.01859466,3.836909,0.8777424,-0.2152385,3.692323,0.5895919,-0.2777313,3.768133,0.5616633,-0.8152383,3.715445,0.5458791,-1.171202,3.729603,0.5208697,-1.231267,3.64112,0.7388294,-0.2891371,3.749604,0.7476261,-0.8015057,3.71739,0.7278686,-1.174261,3.721179,0.7165546,-1.23517,3.628315,0.7076828,0.2767456,3.886277,
1712915220536,120321,0.6715178,-0.2861263,3.798221,0.6929117,0.03782216,3.85301,0.7122449,0.3552992,3.894105,0.7268767,0.5195085,3.908375,0.5221099,0.2502605,3.905973,0.3741579,0.1039756,3.964252,0.3863836,-0.06345179,3.886762,0.8882887,0.2204009,3.854028,0.9341669,-0.01937858,3.834862,0.8807079,-0.2167956,3.690312,0.5900951,-0.2775438,3.768124,0.5624089,-0.8152443,3.71534,0.5459428,-1.171178,3.729771,0.5208127,-1.23141,3.640956,0.7393013,-0.2887536,3.749298,0.7497252,-0.7971184,3.716403,0.7277492,-1.173824,3.721811,0.7186281,-1.23492,3.632802,0.7078486,0.2767864,3.886373,
1712915220570,120322,0.6724969,-0.2862057,3.797867,0.6938316,0.03756083,3.852684,0.7129849,0.354892,3.893831,0.7282361,0.5188761,3.908441,0.5235097,0.2505213,3.906287,0.3750579,0.1027402,3.964703,0.3805537,-0.06616466,3.888005,0.889689,0.2199609,3.852931,0.9347143,-0.0199938,3.833602,0.8823854,-0.2178389,3.689262,0.5911356,-0.2774569,3.768173,0.5628386,-0.8154423,3.715456,0.5463812,-1.172162,3.730929,0.5230919,-1.23378,3.642441,0.7402715,-0.28903,3.748438,0.750402,-0.7972708,3.716137,0.7277392,-1.173821,3.721769,0.7185558,-1.235039,3.632473,0.7086409,0.2764116,3.886085,
